Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
40,Scizor,4.51988,107209,4.721,86698,4.831
41,Weezing-Galar,4.44957,89299,3.932,71492,3.984
42,Dondozo,4.40107,98922,4.356,72025,4.014
43,Excadrill,3.93026,87423,3.850,68732,3.830
44,Meowscarada,3.92262,108581,4.781,87770,4.891
45,Iron Crown,3.92179,70116,3.087,55749,3.107
46,Ogerpon,3.76868,64243,2.829,50205,2.798
47,Ninetales,3.38832,69205,3.047,63669,3.548
48,Toxapex,3.36655,95170,4.191,77481,4.318
49,Torkoal,3.29482,84837,3.736,77048,4.294
50,Ursaluna,3.24558,75129,3.308,58822,3.278
51,Clodsire,3.05653,77544,3.415,61199,3.410
52,Blissey,3.02825,66342,2.921,51478,2.869
53,Ribombee,2.88591,60720,2.674,56397,3.143
54,Weavile,2.77240,60124,2.648,47796,2.663
55,Hoopa-Unbound,2.72715,52239,2.300,41373,2.306
56,Hydrapple,2.68244,53458,2.354,41807,2.330
57,Barraskewda,2.58827,55294,2.435,44169,2.461
58,Rotom-Wash,2.47052,80599,3.549,68357,3.809
59,Volcanion,2.46207,46534,2.049,38605,2.151
60,Lokix,2.45913,52139,2.296,42615,2.375
61,Serperior,2.42333,73744,3.247,56425,3.144
62,Ogerpon-Cornerstone,2.37879,41298,1.819,32177,1.793
63,Blaziken,2.34757,80608,3.549,59774,3.331
64,Sinistcha,2.31398,43942,1.935,33910,1.890
65,Ninetales-Alola,2.30806,55096,2.426,48546,2.705
66,Greninja,2.30149,76447,3.366,60111,3.350
67,Araquanid,2.21931,45143,1.988,41679,2.323
68,Cresselia,2.11636,37863,1.667,29505,1.644
69,Latios,2.02558,39420,1.736,30972,1.726
70,Iron Hands,2.02453,44692,1.968,34304,1.912
71,Tinkaton,2.00208,44206,1.947,37890,2.111
72,Venusaur,1.98167,53661,2.363,42053,2.343
73,Skeledirge,1.84516,50013,2.202,38002,2.118
74,Skarmory,1.84029,40666,1.791,34836,1.941
75,Grimmsnarl,1.83879,53213,2.343,46505,2.592
76,Hawlucha,1.57602,34387,1.514,25550,1.424
77,Slither Wing,1.52093,30407,1.339,24175,1.347
78,Goodra-Hisui,1.49727,37642,1.658,30668,1.709
79,Moltres-Galar,1.49037,33139,1.459,24669,1.375
80,Quaquaval,1.48189,44012,1.938,34862,1.943
81,Overqwil,1.45879,28658,1.262,22563,1.257
82,Hydreigon,1.35107,33834,1.490,26686,1.487
83,Maushold,1.30104,39161,1.724,29806,1.661
84,Manaphy,1.26199,22966,1.011,17731,0.988
85,Latias,1.23853,25635,1.129,19397,1.081
86,Keldeo,1.18451,21817,0.961,17541,0.977
87,Porygon2,1.17397,28033,1.234,23182,1.292
88,Kommo-o,1.11459,30087,1.325,22235,1.239
89,Arcanine-Hisui,1.09951,31508,1.387,24129,1.345
90,Polteageist,1.08634,27129,1.195,20134,1.122
91,Thundurus-Therian,1.06395,24630,1.085,19418,1.082
92,Mimikyu,1.05582,38110,1.678,28877,1.609
93,Indeedee,1.01880,20887,0.920,18049,1.006
94,Mandibuzz,1.01856,21147,0.931,17089,0.952
95,Zoroark-Hisui,0.95617,35082,1.545,14846,0.827
96,Slowking,0.92189,20795,0.916,17342,0.966
97,Talonflame,0.87187,26321,1.159,20358,1.134
98,Gengar,0.85781,39228,1.727,29730,1.657
99,Incineroar,0.84161,36443,1.605,29690,1.655
100,Mamoswine,0.80419,21230,0.935,17022,0.949
101,Azumarill,0.79657,30492,1.343,24091,1.343
102,Cloyster,0.78637,27257,1.200,21102,1.176
103,Metagross,0.77241,32276,1.421,25302,1.410
104,Okidogi,0.73758,14939,0.658,11908,0.664
105,Lilligant-Hisui,0.73509,21626,0.952,16325,0.910
106,Kingdra,0.70367,19712,0.868,15338,0.855
107,Iron Boulder,0.69802,14768,0.650,10515,0.586
108,Umbreon,0.68498,25278,1.113,19245,1.072
109,Amoonguss,0.66716,19368,0.853,15023,0.837
110,Gardevoir,0.66709,25237,1.111,18810,1.048
111,Sandy Shocks,0.65800,16645,0.733,13451,0.750
112,Armarouge,0.65769,19731,0.869,14855,0.828
113,Conkeldurr,0.64618,19247,0.848,15333,0.854
114,Regieleki,0.64032,12063,0.531,9950,0.554
115,Whimsicott,0.63652,20835,0.917,16756,0.934
116,Gyarados,0.60719,28226,1.243,22435,1.250
117,Comfey,0.58988,12840,0.565,9531,0.531
118,Mew,0.58246,18420,0.811,15000,0.836
119,Haxorus,0.56280,23474,1.034,17401,0.970
120,Salamence,0.55410,21474,0.946,16066,0.895
121,Jirachi,0.52850,17207,0.758,13566,0.756
122,Tentacruel,0.52183,15276,0.673,12258,0.683
123,Kleavor,0.52169,16486,0.726,14133,0.788
124,Pawmot,0.51987,14045,0.618,9895,0.551
125,Galvantula,0.51286,25124,1.106,21799,1.215
126,Charizard,0.51189,26465,1.165,19848,1.106
127,Magnezone,0.51127,16910,0.745,13384,0.746
128,Ditto,0.50958,16787,0.739,11785,0.657
129,Milotic,0.50892,21246,0.936,16792,0.936
130,Basculegion,0.50225,14127,0.622,11077,0.617
131,Chesnaught,0.49955,10999,0.484,8933,0.498
132,Crawdaunt,0.49652,12929,0.569,10494,0.585
133,Hippowdon,0.47475,13422,0.591,11610,0.647
134,Fezandipiti,0.46918,11247,0.495,9165,0.511
135,Empoleon,0.46269,19024,0.838,15231,0.849
136,Gallade,0.46001,16513,0.727,12520,0.698
137,Iron Jugulis,0.45036,9638,0.424,7479,0.417
138,Toxicroak,0.44594,12114,0.533,9596,0.535
139,Zarude,0.40378,9434,0.415,7500,0.418
140,Zapdos-Galar,0.40276,10963,0.483,8694,0.484
141,Espeon,0.40163,20040,0.882,15635,0.871
142,Smeargle,0.39696,12108,0.533,9492,0.529
143,Breloom,0.38082,14681,0.646,11180,0.623
144,Jolteon,0.37846,15995,0.704,12316,0.686
145,Typhlosion-Hisui,0.37390,9829,0.433,7138,0.398
146,Salazzle,0.37337,14167,0.624,10881,0.606
147,Blastoise,0.36549,20434,0.900,16047,0.894
148,Gastrodon,0.36400,15803,0.696,12619,0.703
149,Porygon-Z,0.36138,13387,0.589,10388,0.579
150,Swampert,0.35713,17788,0.783,14787,0.824
151,Regidrago,0.35631,9909,0.436,7427,0.414
152,Thundurus,0.34629,10263,0.452,8238,0.459
153,Infernape,0.34402,17713,0.780,13466,0.750
154,Pincurchin,0.34091,8025,0.353,7460,0.416
155,Muk-Alola,0.32957,9867,0.434,8268,0.461
156,Lucario,0.32097,20932,0.922,15537,0.866
157,Bronzong,0.32025,8480,0.373,7179,0.400
158,Snorlax,0.31772,19480,0.858,14586,0.813
159,Bisharp,0.31700,11036,0.486,8390,0.468
160,Deoxys-Defense,0.30624,10029,0.442,7759,0.432
161,Toxtricity,0.30409,15128,0.666,11663,0.650
162,Frosmoth,0.30395,8122,0.358,6019,0.335
163,Chandelure,0.30365,17336,0.763,13166,0.734
164,Diancie,0.30361,8614,0.379,6740,0.376
165,Reuniclus,0.30113,12667,0.558,9601,0.535
166,Cetitan,0.29295,8623,0.380,6553,0.365
167,Sylveon,0.29265,14984,0.660,10967,0.611
168,Donphan,0.28994,10595,0.467,8539,0.476
169,Forretress,0.28972,15242,0.671,13192,0.735
170,Klefki,0.28342,9625,0.424,8166,0.455
171,Slowbro,0.28036,9062,0.399,7082,0.395
172,Chansey,0.27658,10097,0.445,7434,0.414
173,Necrozma,0.26893,6079,0.268,4726,0.263
174,Rotom-Heat,0.25901,8858,0.390,7358,0.410
175,Politoed,0.25110,12784,0.563,10977,0.612
176,Farigiraf,0.25001,6008,0.265,4613,0.257
177,Krookodile,0.24784,13292,0.585,10321,0.575
178,Torterra,0.24714,12757,0.562,9838,0.548
179,Quagsire,0.24505,11276,0.497,8753,0.488
180,Bruxish,0.23721,5037,0.222,3572,0.199
181,Mienshao,0.23644,9176,0.404,7328,0.408
182,Scream Tail,0.23408,6541,0.288,5151,0.287
183,Noivern,0.23318,12078,0.532,9277,0.517
184,Staraptor,0.23245,9660,0.425,7551,0.421
185,Drifblim,0.22214,7319,0.322,5356,0.298
186,Scovillain,0.21609,6201,0.273,4444,0.248
187,Wo-Chien,0.21423,6356,0.280,4915,0.274
188,Vileplume,0.21352,6717,0.296,5194,0.289
189,Kilowattrel,0.21339,9550,0.421,7427,0.414
190,Basculegion-F,0.20683,5891,0.259,4447,0.248
191,Enamorus-Therian,0.20361,4443,0.196,3366,0.188
192,Azelf,0.20297,5514,0.243,4765,0.266
193,Sableye,0.20104,10288,0.453,8416,0.469
194,Ambipom,0.19873,10539,0.464,8633,0.481
195,Vaporeon,0.19808,8759,0.386,7010,0.391
196,Cinccino,0.19797,7856,0.346,5788,0.323
197,Grafaiai,0.19676,7622,0.336,6132,0.342
198,Lycanroc-Dusk,0.19650,7652,0.337,5971,0.333
199,Sceptile,0.19538,12643,0.557,9634,0.537
200,Glastrier,0.19514,4889,0.215,3764,0.210
201,Arcanine,0.19253,9802,0.432,7496,0.418
202,Vikavolt,0.19060,7233,0.318,6223,0.347
203,Entei,0.18760,5252,0.231,4105,0.229
204,Yanmega,0.18465,8201,0.361,6193,0.345
205,Suicune,0.18332,6183,0.272,4623,0.258
206,Feraligatr,0.18123,8609,0.379,6609,0.368
207,Houndstone,0.17847,4222,0.186,3360,0.187
208,Iron Leaves,0.17551,4671,0.206,3645,0.203
209,Arboliva,0.17060,6381,0.281,4765,0.266
210,Cyclizar,0.16854,6835,0.301,5041,0.281
211,Inteleon,0.16578,7571,0.333,5941,0.331
212,Ludicolo,0.16419,7402,0.326,5877,0.328
213,Slowbro-Galar,0.16171,5472,0.241,4242,0.236
214,Raikou,0.15893,4420,0.195,3389,0.189
215,Typhlosion,0.15425,5699,0.251,4256,0.237
216,Cobalion,0.15033,3967,0.175,3231,0.180
217,Hariyama,0.14940,4868,0.214,3620,0.202
218,Hitmonlee,0.14900,7794,0.343,5645,0.315
219,Tsareena,0.14835,7199,0.317,5532,0.308
220,Avalugg,0.14794,4704,0.207,3639,0.203
221,Braviary-Hisui,0.14703,5469,0.241,4213,0.235
222,Leavanny,0.14507,4755,0.209,3992,0.222
223,Revavroom,0.14418,4947,0.218,3821,0.213
224,Goodra,0.14413,6979,0.307,5421,0.302
225,Brambleghast,0.14211,4316,0.190,3306,0.184
226,Bellibolt,0.14204,5356,0.236,4280,0.239
227,Meloetta,0.13864,4376,0.193,3302,0.184
228,Sandslash-Alola,0.13531,5164,0.227,3967,0.221
229,Poliwrath,0.13420,4529,0.199,3536,0.197
230,Heracross,0.12827,7979,0.351,5788,0.323
231,Floatzel,0.12611,5534,0.244,4155,0.232
232,Eelektross,0.12516,9543,0.420,7465,0.416
233,Articuno-Galar,0.12491,4234,0.186,3041,0.169
234,Dudunsparce,0.12136,4367,0.192,3567,0.199
235,Electrode-Hisui,0.12015,5277,0.232,4242,0.236
236,Leafeon,0.11439,4609,0.203,3578,0.199
237,Pikachu,0.11156,7872,0.347,5869,0.327
238,Abomasnow,0.11107,4945,0.218,4142,0.231
239,Rhyperior,0.11091,5397,0.238,4127,0.230
240,Froslass,0.11013,6901,0.304,5477,0.305
241,Lapras,0.10906,8125,0.358,6328,0.353
242,Dusclops,0.10753,5004,0.220,4083,0.228
243,Scrafty,0.10630,6244,0.275,4880,0.272
244,Dragalge,0.10535,4416,0.194,3420,0.191
245,Scyther,0.10439,6409,0.282,4882,0.272
246,Florges,0.10432,4371,0.192,3270,0.182
247,Raichu-Alola,0.10160,4662,0.205,3602,0.201
248,Indeedee-F,0.10038,3884,0.171,3249,0.181
249,Spidops,0.10033,3964,0.175,3549,0.198
250,Registeel,0.10019,4311,0.190,3388,0.189
251,Flamigo,0.10010,3193,0.141,2428,0.135
252,Glaceon,0.09850,3829,0.169,2827,0.158
253,Malamar,0.09846,6315,0.278,4539,0.253
254,Decidueye-Hisui,0.09780,4305,0.190,3279,0.183
255,Golurk,0.09618,5378,0.237,4311,0.240
256,Rampardos,0.09528,4846,0.213,3509,0.196
257,Electivire,0.09483,6106,0.269,4671,0.260
258,Cryogonal,0.09073,4556,0.201,3479,0.194
259,Delphox,0.08992,5737,0.253,4246,0.237
260,Tornadus,0.08846,3111,0.137,2522,0.141
261,Iron Thorns,0.08594,3195,0.141,2384,0.133
262,Exeggutor,0.08581,4876,0.215,3620,0.202
263,Alcremie,0.08546,2664,0.117,1923,0.107
264,Drednaw,0.08494,3434,0.151,2464,0.137
265,Minior,0.08388,4676,0.206,3462,0.193
266,Emboar,0.08256,3297,0.145,2541,0.142
267,Orthworm,0.08032,4916,0.216,4019,0.224
268,Primeape,0.08010,3495,0.154,2725,0.152
269,Trevenant,0.07952,3934,0.173,3048,0.170
270,Avalugg-Hisui,0.07923,3604,0.159,2889,0.161
271,Decidueye,0.07896,4988,0.220,3753,0.209
272,Regice,0.07879,4965,0.219,3742,0.209
273,Mudsdale,0.07496,3393,0.149,2730,0.152
274,Rabsca,0.07448,3250,0.143,1972,0.110
275,Munkidori,0.07440,3326,0.146,2661,0.148
276,Flygon,0.07326,6545,0.288,5009,0.279
277,Komala,0.07261,2546,0.112,1949,0.109
278,Oricorio-Pom-Pom,0.07249,2872,0.126,2179,0.121
279,Spiritomb,0.07216,4763,0.210,3854,0.215
280,Hitmontop,0.07100,5072,0.223,4002,0.223
281,Zoroark,0.07078,4580,0.202,1905,0.106
282,Duraludon,0.07048,3434,0.151,2724,0.152
283,Luxray,0.06920,5049,0.222,3915,0.218
284,Tauros-Paldea-Blaze,0.06770,2182,0.096,1734,0.097
285,Toucannon,0.06671,2241,0.099,1871,0.104
286,Slaking,0.06605,3563,0.157,2805,0.156
287,Coalossal,0.06572,2440,0.107,1924,0.107
288,Sudowoodo,0.06440,2494,0.110,2029,0.113
289,Honchkrow,0.06406,3373,0.149,2620,0.146
290,Articuno,0.06398,2344,0.103,1824,0.102
291,Regigigas,0.06394,3226,0.142,2537,0.141
292,Cramorant,0.06296,2640,0.116,2179,0.121
293,Lilligant,0.06230,2699,0.119,2019,0.113
294,Crabominable,0.06227,1941,0.085,1558,0.087
295,Beartic,0.06154,2768,0.122,2077,0.116
296,Meowstic,0.06153,2629,0.116,2132,0.119
297,Tauros-Paldea-Aqua,0.06087,2784,0.123,2133,0.119
298,Palossand,0.06038,2276,0.100,1765,0.098
299,Toedscruel,0.05996,2866,0.126,2203,0.123
300,Morpeko,0.05994,2701,0.119,2077,0.116
301,Clawitzer,0.05938,3732,0.164,2929,0.163
302,Veluza,0.05861,2097,0.092,1626,0.091
303,Raichu,0.05730,3455,0.152,2561,0.143
304,Tatsugiri,0.05604,2460,0.108,1877,0.105
305,Exeggutor-Alola,0.05524,2431,0.107,1734,0.097
306,Zangoose,0.05442,3777,0.166,2926,0.163
307,Uxie,0.05398,2473,0.109,2141,0.119
308,Mabosstiff,0.05204,1571,0.069,1212,0.068
309,Mismagius,0.05110,3739,0.165,2882,0.161
310,Brute Bonnet,0.04973,1798,0.079,1334,0.074
311,Eiscue,0.04868,2562,0.113,1906,0.106
312,Houndoom,0.04860,3283,0.145,2429,0.135
313,Shiftry,0.04835,3083,0.136,2450,0.137
314,Magmortar,0.04738,2458,0.108,1770,0.099
315,Golem-Alola,0.04730,2615,0.115,2107,0.117
316,Terrakion,0.04689,1433,0.063,1060,0.059
317,Regirock,0.04684,3115,0.137,2419,0.135
318,Sandaconda,0.04629,2456,0.108,1948,0.109
319,Rotom,0.04460,1175,0.052,986,0.055
320,Lurantis,0.04442,4234,0.186,3323,0.185
321,Masquerain,0.04327,2871,0.126,2505,0.140
322,Golem,0.04323,2003,0.088,1748,0.097
323,Altaria,0.04243,4092,0.180,2940,0.164
324,Golduck,0.04219,1986,0.087,1562,0.087
325,Virizion,0.04185,1022,0.045,742,0.041
326,Lanturn,0.04167,2793,0.123,2230,0.124
327,Rotom-Mow,0.04162,2271,0.100,1754,0.098
328,Probopass,0.04079,1518,0.067,1213,0.068
329,Ampharos,0.04077,2748,0.121,2142,0.119
330,Chimecho,0.04022,1448,0.064,1085,0.060
331,Magcargo,0.03908,1690,0.074,1366,0.076
332,Dusknoir,0.03864,2522,0.111,2039,0.114
333,Crocalor,0.03752,638,0.028,489,0.027
334,Rotom-Frost,0.03730,1441,0.063,1117,0.062
335,Victreebel,0.03666,2799,0.123,2235,0.125
336,Lycanroc,0.03635,2217,0.098,1788,0.100
337,Meganium,0.03549,2611,0.115,1974,0.110
338,Muk,0.03491,1933,0.085,1512,0.084
339,Carbink,0.03439,2024,0.089,1615,0.090
340,Medicham,0.03341,2065,0.091,1590,0.089
341,Falinks,0.03045,1873,0.082,1409,0.079
342,Flareon,0.03012,2915,0.128,2186,0.122
343,Mesprit,0.02936,1589,0.070,1326,0.074
344,Shaymin,0.02918,1222,0.054,932,0.052
345,Weezing,0.02877,2227,0.098,1788,0.100
346,Haunter,0.02871,1468,0.065,1202,0.067
347,Sandslash,0.02871,1681,0.074,1345,0.075
348,Murkrow,0.02848,1629,0.072,1214,0.068
349,Bastiodon,0.02844,2747,0.121,1998,0.111
350,Dachsbun,0.02783,2144,0.094,1586,0.088
351,Braviary,0.02753,2014,0.089,1530,0.085
352,Volbeat,0.02725,1622,0.071,1392,0.078
353,Magneton,0.02713,1813,0.080,1479,0.082
354,Rhydon,0.02639,1968,0.087,1430,0.080
355,Gothitelle,0.02637,1144,0.050,855,0.048
356,Dugtrio,0.02623,1422,0.063,1065,0.059
357,Tropius,0.02583,2044,0.090,1550,0.086
358,Klawf,0.02520,1008,0.044,780,0.043
359,Appletun,0.02513,2433,0.107,1771,0.099
360,Venomoth,0.02422,1969,0.087,1412,0.079
361,Hitmonchan,0.02346,2503,0.110,1867,0.104
362,Ursaring,0.02296,1558,0.069,1214,0.068
363,Hattrem,0.02257,464,0.020,366,0.020
364,Oricorio-Sensu,0.02189,1599,0.070,1174,0.065
365,Zebstrika,0.02163,1491,0.066,1102,0.061
366,Noctowl,0.02161,1672,0.074,1311,0.073
367,Cacturne,0.02160,1602,0.071,1229,0.068
368,Copperajah,0.02131,1274,0.056,960,0.053
369,Dodrio,0.02081,1235,0.054,968,0.054
370,Tauros,0.02029,1562,0.069,1206,0.067
371,Gogoat,0.01848,1543,0.068,1168,0.065
372,Flapple,0.01841,898,0.040,701,0.039
373,Lycanroc-Midnight,0.01777,1566,0.069,1241,0.069
374,Misdreavus,0.01723,537,0.024,435,0.024
375,Persian,0.01668,1247,0.055,1027,0.057
376,Arbok,0.01659,2012,0.089,1514,0.084
377,Electrode,0.01654,1338,0.059,1058,0.059
378,Piloswine,0.01631,819,0.036,685,0.038
379,Persian-Alola,0.01623,1190,0.052,994,0.055
380,Hoopa,0.01610,1018,0.045,783,0.044
381,Ariados,0.01549,1530,0.067,1309,0.073
382,Qwilfish-Hisui,0.01539,790,0.035,647,0.036
383,Wigglytuff,0.01535,1170,0.052,908,0.051
384,Bellossom,0.01500,1005,0.044,622,0.035
385,Bombirdier,0.01486,1075,0.047,844,0.047
386,Camerupt,0.01471,1173,0.052,941,0.052
387,Oricorio,0.01446,682,0.030,510,0.028
388,Greedent,0.01425,737,0.032,566,0.032
389,Granbull,0.01356,1134,0.050,871,0.049
390,Skuntank,0.01345,748,0.033,606,0.034
391,Sawsbuck,0.01344,1467,0.065,1110,0.062
392,Vivillon,0.01324,1184,0.052,880,0.049
393,Jumpluff,0.01322,1039,0.046,868,0.048
394,Squawkabilly,0.01286,1271,0.056,974,0.054
395,Swalot,0.01278,837,0.037,682,0.038
396,Whiscash,0.01249,886,0.039,689,0.038
397,Dugtrio-Alola,0.01243,754,0.033,583,0.032
398,Pachirisu,0.01241,684,0.030,544,0.030
399,Dedenne,0.01219,1318,0.058,1027,0.057
400,Seviper,0.01180,1367,0.060,983,0.055
401,Dipplin,0.01173,532,0.023,416,0.023
402,Samurott,0.01169,1197,0.053,913,0.051
403,Dunsparce,0.01168,1125,0.050,871,0.049
404,Swanna,0.01123,519,0.023,412,0.023
405,Pyroar,0.01116,1595,0.070,1194,0.067
406,Banette,0.01095,694,0.031,546,0.030
407,Passimian,0.01036,1645,0.072,1077,0.060
408,Dewgong,0.01007,799,0.035,570,0.032
409,Perrserker,0.00994,814,0.036,605,0.034
410,Magmar,0.00962,564,0.025,466,0.026
411,Thwackey,0.00915,336,0.015,268,0.015
412,Furret,0.00874,1102,0.049,856,0.048
413,Sneasel-Hisui,0.00872,580,0.026,441,0.025
414,Electabuzz,0.00842,425,0.019,321,0.018
415,Sunflora,0.00841,552,0.024,411,0.023
416,Vespiquen,0.00839,626,0.028,506,0.028
417,Basculin,0.00831,1007,0.044,703,0.039
418,Hypno,0.00825,685,0.030,543,0.030
419,Illumise,0.00821,612,0.027,453,0.025
420,Clefairy,0.00813,435,0.019,330,0.018
421,Charjabug,0.00802,279,0.012,263,0.015
422,Wyrdeer,0.00756,773,0.034,514,0.029
423,Qwilfish,0.00752,664,0.029,555,0.031
424,Gligar,0.00724,544,0.024,470,0.026
425,Cottonee,0.00691,542,0.024,426,0.024
426,Psyduck,0.00640,222,0.010,175,0.010
427,Swinub,0.00636,125,0.006,87,0.005
428,Torracat,0.00635,207,0.009,182,0.010
429,Kricketune,0.00632,408,0.018,367,0.020
430,Vigoroth,0.00615,315,0.014,244,0.014
431,Gloom,0.00597,171,0.008,137,0.008
432,Rotom-Fan,0.00595,519,0.023,388,0.022
433,Plusle,0.00557,394,0.017,290,0.016
434,Delibird,0.00535,453,0.020,331,0.018
435,Oranguru,0.00519,488,0.021,412,0.023
436,Gurdurr,0.00518,263,0.012,207,0.012
437,Gumshoos,0.00514,437,0.019,327,0.018
438,Munchlax,0.00501,201,0.009,165,0.009
439,Lumineon,0.00483,348,0.015,276,0.015
440,Grumpig,0.00466,303,0.013,231,0.013
441,Raboot,0.00464,126,0.006,103,0.006
442,Wugtrio,0.00463,657,0.029,482,0.027
443,Pineco,0.00425,459,0.020,342,0.019
444,Starly,0.00418,283,0.012,230,0.013
445,Mightyena,0.00399,901,0.040,723,0.040
446,Eevee,0.00396,773,0.034,518,0.029
447,Tauros-Paldea-Combat,0.00395,248,0.011,197,0.011
448,Glimmet,0.00372,209,0.009,184,0.010
449,Luvdisc,0.00372,326,0.014,245,0.014
450,Swadloon,0.00364,96,0.004,86,0.005
451,Grookey,0.00363,88,0.004,54,0.003
452,Riolu,0.00346,286,0.013,177,0.010
453,Salandit,0.00323,95,0.004,68,0.004
454,Glalie,0.00320,362,0.016,271,0.015
455,Nosepass,0.00318,295,0.013,233,0.013
456,Geodude,0.00311,162,0.007,141,0.008
457,Naclstack,0.00306,267,0.012,201,0.011
458,Sneasel,0.00281,182,0.008,150,0.008
459,Morgrem,0.00278,156,0.007,131,0.007
460,Stantler,0.00266,183,0.008,155,0.009
461,Trapinch,0.00251,148,0.007,108,0.006
462,Cyndaquil,0.00241,111,0.005,100,0.006
463,Magikarp,0.00235,230,0.010,193,0.011
464,Dragonair,0.00233,271,0.012,209,0.012
465,Girafarig,0.00232,186,0.008,149,0.008
466,Larvitar,0.00222,203,0.009,144,0.008
467,Fraxure,0.00218,63,0.003,43,0.002
468,Poliwag,0.00218,93,0.004,78,0.004
469,Wartortle,0.00217,203,0.009,159,0.009
470,Minun,0.00215,218,0.010,163,0.009
471,Slowpoke,0.00210,83,0.004,58,0.003
472,Cutiefly,0.00209,143,0.006,110,0.006
473,Croagunk,0.00208,86,0.004,72,0.004
474,Marshtomp,0.00203,97,0.004,79,0.004
475,Gulpin,0.00203,115,0.005,102,0.006
476,Oinkologne,0.00200,215,0.009,152,0.008
477,Tandemaus,0.00198,104,0.005,81,0.005
478,Bulbasaur,0.00198,159,0.007,138,0.008
479,Stonjourner,0.00195,136,0.006,112,0.006
480,Mudbray,0.00191,51,0.002,43,0.002
481,Sandshrew,0.00190,53,0.002,46,0.003
482,Diglett,0.00188,125,0.006,108,0.006
483,Mudkip,0.00188,98,0.004,82,0.005
484,Wooper,0.00185,163,0.007,145,0.008
485,Spinarak,0.00184,118,0.005,107,0.006
486,Squirtle,0.00178,139,0.006,118,0.007
487,Drifloon,0.00176,170,0.007,137,0.008
488,Jigglypuff,0.00173,146,0.006,122,0.007
489,Chikorita,0.00173,99,0.004,89,0.005
490,Dewott,0.00171,151,0.007,120,0.007
491,Rowlet,0.00170,91,0.004,79,0.004
492,Buizel,0.00165,79,0.003,63,0.004
493,Snom,0.00162,116,0.005,95,0.005
494,Marill,0.00156,104,0.005,87,0.005
495,Bayleef,0.00156,145,0.006,107,0.006
496,Gastly,0.00155,176,0.008,147,0.008
497,Pichu,0.00153,117,0.005,95,0.005
498,Doduo,0.00152,99,0.004,76,0.004
499,Flittle,0.00152,100,0.004,89,0.005
500,Venonat,0.00151,142,0.006,109,0.006
501,Bonsly,0.00150,94,0.004,65,0.004
502,Exeggcute,0.00149,31,0.001,22,0.001
503,Magnemite,0.00146,98,0.004,82,0.005
504,Arctibax,0.00142,117,0.005,97,0.005
505,Ralts,0.00140,62,0.003,56,0.003
506,Duskull,0.00137,56,0.002,43,0.002
507,Scraggy,0.00136,82,0.004,71,0.004
508,Oinkologne-F,0.00134,115,0.005,81,0.005
509,Metang,0.00133,100,0.004,85,0.005
510,Porygon,0.00130,94,0.004,78,0.004
511,Sentret,0.00129,100,0.004,65,0.004
512,Mienfoo,0.00127,59,0.003,47,0.003
513,Stunky,0.00127,32,0.001,29,0.002
514,Oshawott,0.00127,101,0.004,79,0.004
515,Quilava,0.00124,51,0.002,39,0.002
516,Mareanie,0.00124,98,0.004,81,0.005
517,Treecko,0.00122,118,0.005,83,0.005
518,Voltorb,0.00119,80,0.004,65,0.004
